time,data_queue_size,fuel_valve_setpoint,fuel_valve_internal_pos,fuel_valve_encoder_pos,fuel_valve_velocity,fuel_valve_acceleration,fuel_valve_nsec_per_pulse,lox_valve_setpoint,lox_valve_internal_pos,lox_valve_encoder_pos,lox_valve_velocity,lox_valve_acceleration,lox_valve_nsec_per_pulse,pt102,pt103,pto401,pt202,pt203,ptf401,ptc401,ptc402
0.04334194,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98880005,73.97999573,73.04399872,8.80323315,205.99363708,7002955,659.40625000,614.53125000,293.61718750,799.40234375,503.25000000,747.65740967,9.94921875,12.63476562
0.04416372,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98899841,73.97999573,73.04399872,9.00159740,198.36424255,7002955,657.94140625,617.46093750,294.10546875,795.00781250,505.20312500,759.37615967,10.43750000,11.90234375
0.04497864,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98919678,73.97999573,73.04399872,9.19996166,198.36424255,7002955,656.96484375,616.48437500,293.86132812,792.07812500,502.27343750,743.99530029,12.39062500,13.12304687
0.04597270,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98939514,73.97999573,73.04399872,9.39832592,198.36424255,7002955,666.73046875,618.43750000,294.10546875,790.61328125,503.25000000,741.30975342,12.14648437,12.63476562
0.04695489,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98960114,73.97999573,73.04399872,9.60431957,205.99363708,7002955,661.35937500,612.57812500,295.32617187,787.68359375,504.22656250,752.78436279,9.46093750,10.19335937
0.04798540,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98979950,73.97999573,73.04399872,9.80268383,198.36424255,7002955,658.91796875,612.57812500,294.10546875,790.12500000,506.66796875,739.84490967,12.39062500,8.97265625
0.04909811,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98999786,73.97999573,73.04399872,10.00104809,198.36424255,7002955,661.35937500,609.64843750,294.34960937,796.96093750,503.73828125,743.99530029,8.72851562,11.65820312
0.04999208,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99019623,73.97999573,73.04399872,10.19941235,198.36424255,7002955,662.82421875,615.50781250,292.15234375,794.51953125,504.22656250,755.46990967,8.97265625,8.97265625
0.05096490,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99039459,73.97999573,73.04399872,10.39777660,198.36424255,7002955,662.33593750,610.62500000,294.59375000,791.10156250,503.25000000,747.90155029,11.16992187,11.90234375
0.05195555,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99060059,73.97999573,73.04399872,10.60377026,205.99363708,7002955,662.82421875,615.99609375,293.61718750,787.68359375,504.71484375,742.04217529,9.46093750,10.92578125
